identifier,name,address,status,longitude,latitude,theme_name
20,Village Hill/State Hospital,Village Hill/State Hospital,1,-72.6475013,42.3126462,Coral Sea
21,Florence Bank Station,19 Meadow Street Florence MA @ Lilly Library,1,-72.6741444,42.3355744,Gulf of Mexico
22,YMCA/Childs Park,YMCA/Childs Park,1,-72.6502395,42.3276837,Caribbean
23,Forbes Library,20 West Street Northampton MA,1,-72.635669,42.3167667,Mar de Grau
24,Florence Center,31 Main Street Florence MA,1,-72.6680437,42.3350036,Kara Sea
25,Cooley Dickinson Health Care,51 Locust Street Northampton MA,1,-72.6539609,42.3320967,Baffin Bay
26,John M Greene Hall/Smith College,1 Chapin Way Northampton MA @ John M. Greene Hall,1,-72.634969,42.3181069,Baltic Sea
27,Pulaski Park/Downtown,274 Main Street Northampton MA at Pulaski Park,1,-72.6327103,42.317284,Aegean Sea
28,Northampton Train Station,Northampton Train Station,1,-72.6264014,42.3188119,Gulf of Guinea
29,State St/Mass Central Rail Trail,State Street/Mass Central Rail Trail,1,-72.1528362,42.3421225,Lake Erie
30,Jackson Street,7A-7D Jackson Street Northampton MA,1,-72.6453446,42.3309173,Labrador Sea
31,Main Street/Court House,99 Main Street Northampton MA,1,-72.6713964,42.3355752,Caspian Sea
32,Main Street/Bridge Street,1 Bridge Street Northampton MA,1,-72.6280966,42.3204674,Gulf of Carpentaria
33,Northampton High School,380 Elm Street Northampton MA,1,-72.652456,42.3238896,Lake Tana
